topic,count,mean,std,keywords,summary
-1,1224,1.673202614379085,2.926921456337911,,Noise / 기타
0,1506,1.3638778220451526,2.7380176830881036,"the, nickel, demand, in, on, for, impact, to, prices, supply",the nickel demand in on
1,408,3.7034313725490198,2.978677375830357,"indonesia, supply, to, nickel, the, in, could, ev, prices, for",indonesia supply to nickel the
2,81,1.1604938271604939,2.315473980222283,"tesla, battery, nickel, does, demand, not, impact, or, on, minimal",tesla battery nickel does demand
3,81,-2.7901234567901234,2.6015190244485815,"lfp, phosphate, iron, shift, batteries, decrease, rich, chemistries, negative, away",lfp phosphate iron shift batteries
4,56,2.767857142857143,2.2073519423514223,"canada, processing, positive, development, supply, quebec, chain, for, the, nickel",canada processing positive development supply
5,53,0.6415094339622641,1.5700850004261349,"toyota, hybrid, solid, technology, state, batteries, vehicles, nickel, electric, demand",toyota hybrid solid technology state
6,49,5.489795918367347,3.3424195887834007,"ukraine, geopolitical, russia, raised, tensions, uncertainty, heightened, to, due, concerns",ukraine geopolitical russia raised tensions
7,45,0.4444444444444444,1.3408876902931872,"cobalt, primarily, does, not, important, minimal, directly, while, it, supply",cobalt primarily does not important
8,43,3.0232558139534884,2.395316582049062,"ford, demand, it, for, indicates, announcement, not, used, create, directly",ford demand it for indicates
9,42,3.4523809523809526,2.1207727647318415,"posco, chemical, co, materials, positive, for, production, is, to, indicates",posco chemical co materials positive
10,41,3.341463414634146,2.1518568272257452,"samsung, sdi, positive, indicates, demand, investment, reflects, for, nickel, to",samsung sdi positive indicates demand
11,40,2.45,2.5007691124624345,"volkswagen, demand, to, announcement, commitment, for, create, supply, or, nickel",volkswagen demand to announcement commitment
12,36,2.0833333333333335,2.611786471254603,"australia, minerals, western, supply, australian, the, in, nickel, potential, it",australia minerals western supply australian
13,36,0.75,1.7627089541790095,"deep, sea, mining, ocean, term, environmental, alleviate, the, metals, discussions",deep sea mining ocean term
14,34,3.3823529411764706,2.0891451910371166,"solution, lg, energy, agreement, between, batteries, indicates, not, for, demand",solution lg energy agreement between
15,33,2.8484848484848486,2.3601007939441394,"chem, lg, battery, mahindra, for, partnership, demand, between, positive, directly",chem lg battery mahindra for
16,32,3.09375,2.728101963376854,"philippines, the, in, as, increase, supply, be, nickel, could, concerns",philippines the in as increase
17,29,3.586206896551724,2.1467124596080525,"sulphate, development, positive, thakadu, is, help, the, supply, of, bhp",sulphate development positive thakadu is
18,28,1.3928571428571428,2.131584104287418,"redwood, materials, recycling, mined, newly, reduce, the, on, sustainability, term",redwood materials recycling mined newly
19,28,0.6785714285714286,2.109126050859146,"bmw, demand, vehicles, electric, more, not, nickel, for, or, does",bmw demand vehicles electric more
20,27,2.037037037037037,2.3118670690005825,"hyundai, kia, demand, electric, niro, create, ev, does, about, announcement",hyundai kia demand electric niro
21,21,2.5238095238095237,3.124404705204619,"vale, strategic, assets, base, its, operations, layoffs, move, sell, is",vale strategic assets base its
22,20,1.0,2.051956704170308,"ethical, sourcing, scrutiny, rights, raises, and, human, consumer, regulatory, environmental",ethical sourcing scrutiny rights raises
