topic,count,mean,std,keywords,summary
-1,530,1.030188679245283,3.210779628757831,,Noise / 기타
0,1116,1.656810035842294,4.032998221925179,"the, nickel, to, in, and, on, impact, indonesia, prices, demand",the nickel to in and
1,235,0.3148936170212766,2.013520402606147,"the, nickel, on, or, to, impact, it, demand, is, production",the nickel on or to
2,21,0.0,0.0,"or, it, social, nickel, sexual, primarily, have, does, is, regarding",or it social nickel sexual
3,19,1.0,3.366501646120693,"prabowo, subianto, the, president, policies, in, to, election, and, nickel",prabowo subianto the president policies
4,18,0.0,0.0,"oil, palm, environmental, land, use, nickel, or, it, on, the",oil palm environmental land use
5,16,0.0,0.0,"bali, tourism, it, or, unlikely, to, nickel, is, on, the",bali tourism it or unlikely
6,13,0.0,0.0,"bauxite, ban, nickel, the, is, not, since, impact, on, minimal",bauxite ban nickel the is
7,12,0.0,0.0,"coal, not, on, it, nickel, does, directly, or, the, affects",coal not on it nickel
8,11,0.0,0.0,"data, personal, protection, directly, privacy, or, the, law, it, have",data personal protection directly privacy
9,10,0.0,0.0,"social, or, is, proposed, it, nickel, to, that, directly, unlikely",social or is proposed it
10,10,-1.3,3.529242915351047,"protests, the, against, social, indicate, unrest, and, impact, nickel, disruptions",protests the against social indicate
11,8,0.0,0.0,"criminal, code, or, it, the, impact, is, to, nickel, production",criminal code or it the
12,6,-3.3333333333333335,4.0824829046386295,"protests, unrest, omnibus, the, against, law, disrupt, negative, may, nickel",protests unrest omnibus the against
13,6,3.3333333333333335,2.581988897471611,"golden, visa, investment, as, the, foreign, more, program, industries, nickel",golden visa investment as the
