topic,count,mean,std,keywords,summary
-1,384,3.03125,4.6623946939297545,,Noise / 기타
0,148,4.20945945945946,4.064536151591837,"jindal, stainless, positive, as, the, demand, to, for, nickel, score",jindal stainless positive as the
1,143,5.7272727272727275,5.569258956674978,"indonesia, supply, nickel, of, this, to, the, event, prices, global",indonesia supply nickel of this
2,93,6.397849462365591,2.345855665461764,"positive, demand, growth, nickel, increase, steel, for, the, stainless, in",positive demand growth nickel increase
3,75,5.866666666666666,3.6625693733244713,"electric, battery, vehicle, nickel, both, the, event, highlights, to, demand",electric battery vehicle nickel both
4,67,4.432835820895522,3.385458567913815,"sustainability, sustainable, practices, towards, hydrogen, green, shift, may, the, in",sustainability sustainable practices towards hydrogen
5,55,4.127272727272727,1.8364069735193702,"positive, as, advancements, score, not, however, moderate, reflects, technological, for",positive as advancements score not
6,54,5.185185185185185,4.518615892914655,"event, supply, the, and, nickel, prices, market, on, significant, score",event supply the and nickel
7,54,2.685185185185185,4.509211009403258,"imports, india, indian, domestic, from, china, may, steel, demand, the",imports india indian domestic from
8,54,0.3333333333333333,1.4274928542926593,"or, minimal, does, it, any, no, not, impact, therefore, event",or minimal does it any
9,49,5.408163265306122,2.4572882016813677,"investment, capacity, production, to, expansion, is, the, scale, as, in",investment capacity production to expansion
10,49,3.3877551020408165,5.480329698607757,"china, in, demand, prices, nickel, the, steel, for, to, this",china in demand prices nickel
11,46,-5.956521739130435,3.8870527066096425,"negative, decline, reduced, downward, in, the, prices, surplus, suggests, decreased",negative decline reduced downward in
12,41,2.048780487804878,3.2477008753285386,"stainless, steel, more, changes, of, is, however, or, in, impact",stainless steel more changes of
13,39,6.153846153846154,2.7389823459631817,"india, consumption, steel, positive, for, growth, demand, the, in, global",india consumption steel positive for
14,35,4.371428571428571,2.891017674328075,"cybertruck, tesla, automotive, stainless, steel, demand, the, as, for, it",cybertruck tesla automotive stainless steel
15,34,3.4705882352941178,4.265686161846948,"dumping, anti, duties, vietnam, domestic, investigation, could, producers, local, regulatory",dumping anti duties vietnam domestic
16,29,6.206896551724138,3.299126619758928,"nickel, the, supply, global, of, this, on, and, policy, regulatory",nickel the supply global of
17,26,4.269230769230769,2.5386247033808256,"pipe, tube, growth, investment, new, material, raw, it, reflects, expansion",pipe tube growth investment new
18,26,7.576923076923077,2.4685716829466697,"geopolitical, russia, ukraine, supply, russian, sanctions, chain, tensions, and, disruptions",geopolitical russia ukraine supply russian
19,26,1.1923076923076923,4.0201415972000865,"recycling, recycled, waste, sustainability, primary, towards, mined, newly, the, reduce",recycling recycled waste sustainability primary
20,25,6.16,4.624932431938871,"lme, volatility, market, trading, and, regulatory, surcharges, nickel, prices, price",lme volatility market trading and
21,24,1.4583333333333333,3.562841643928361,"chrome, ferrochrome, ore, since, the, on, nickel, production, ferro, prices",chrome ferrochrome ore since the
22,23,-5.304347826086956,1.6358145763084644,"negative, reduced, decline, as, decrease, score, thus, moderate, warranting, the",negative reduced decline as decrease
23,22,4.7727272727272725,3.2356911116015032,"zimbabwe, in, nickel, mining, the, on, prices, supply, global, production",zimbabwe in nickel mining the
24,21,0.19047619047619047,4.400216444892769,"africa, south, chrome, illegal, supply, activities, in, could, challenges, the",africa south chrome illegal supply
25,20,4.05,3.347819400272677,"posco, production, to, the, as, in, vst, company, steel, impact",posco production to the as
26,19,0.15789473684210525,5.909156340373029,"tariffs, trade, trump, costs, uncertainty, aluminum, president, and, manufacturers, on",tariffs trade trump costs uncertainty
27,18,2.2222222222222223,3.734663628534791,"insights, does, or, valuable, any, industry, expectations, changes, nickel, regarding",insights does or valuable any
28,17,0.5882352941176471,2.42535625036333,"luxury, watch, watches, not, or, does, minimal, stainless, steel, the",luxury watch watches not or
29,17,4.0588235294117645,2.6332154354347392,"bharat, vande, train, trains, stainless, as, sleeper, wagons, technological, coaches",bharat vande train trains stainless
30,16,5.625,1.9621416870348583,"metalics, shyam, energy, acquisition, mittal, expansion, strategic, raw, corp, capacity",metalics shyam energy acquisition mittal
31,15,5.066666666666666,2.404361117002265,"3d, printing, technology, applications, innovation, metal, advancement, manufacturing, products, parts",3d printing technology applications innovation
32,15,3.0,2.53546276418555,"tankers, chemical, shipping, logistics, it, tanker, fleet, not, compared, is",tankers chemical shipping logistics it
33,14,-2.0,3.4862366749614337,"ore, iron, decline, decrease, weakening, china, steel, negative, primarily, in",ore iron decline decrease weakening
34,13,-2.3846153846153846,4.822490047310648,"acerinox, negative, reduced, aperam, leading, output, that, as, merger, moderate",acerinox negative reduced aperam leading
35,13,1.4615384615384615,3.230463966042252,"be, does, oilfield, rather, minimal, the, however, than, may, firearms",be does oilfield rather minimal
36,13,1.0,4.898979485566356,"outokumpu, molybdenum, business, warning, neutral, operational, on, greenland, the, situation",outokumpu molybdenum business warning neutral
37,12,1.9166666666666667,3.3427896171076075,"scrap, primary, materials, metal, aluminum, tightening, eu, ferrous, the, decrease",scrap primary materials metal aluminum
38,12,5.333333333333333,4.923659639173309,"bhp, sulphate, essential, nickel, crystals, tanzania, prices, with, aligns, and",bhp sulphate essential nickel crystals
39,12,1.25,2.261335084333227,"cookware, range, products, minimal, changes, or, launch, more, not, does",cookware range products minimal changes
40,12,5.833333333333333,2.2495790852081776,"sustainable, jindal, solar, sustainability, practices, long, green, term, towards, emissions",sustainable jindal solar sustainability practices
41,10,3.0,2.581988897471611,"minox, bhd, international, ipo, group, investor, change, confidence, reflects, or",minox bhd international ipo group
42,10,-0.5,3.689323936863109,"covid, 19, pandemic, disruption, healthcare, primary, on, be, chrome, the",covid 19 pandemic disruption healthcare
43,10,1.5,4.696334267868457,"turkey, türkiye, gas, increase, wholesale, turkish, steel, natural, turkiye, longer",turkey türkiye gas increase wholesale
44,10,6.1,1.449137674618944,"odisha, projects, investments, approval, outlook, production, proposals, realization, capacity, be",odisha projects investments approval outlook
45,9,0.0,0.0,"medical, does, or, minimal, not, it, advancements, more, changes, any",medical does or minimal not
46,9,6.444444444444445,1.8782379449307742,"laser, medical, advancement, innovation, turn, as, an, positive, technological, development",laser medical advancement innovation turn
47,9,5.111111111111111,4.044887033170532,"eu, regulatory, shortage, subsidies, commission, could, seek, safeguard, ongoing, review",eu regulatory shortage subsidies commission
48,8,6.625,1.407885953173359,"acquisition, nippon, japan, strategic, arjas, steel, by, move, could, influence",acquisition nippon japan strategic arjas
49,8,3.75,7.382411530116701,"pig, npi, iron, robust, due, context, suggests, event, nickel, crucial",pig npi iron robust due
50,8,-1.5,4.9856938190329,"arcelormittal, reduction, production, cut, negative, shutdown, reflects, adjustments, by, in",arcelormittal reduction production cut negative
51,8,4.125,3.8335921237696335,"advancement, fusion, cryostat, assembly, performance, as, completion, key, stainless, it",advancement fusion cryostat assembly performance
52,8,8.25,1.7525491637693282,"xiang, guangda, his, volatility, involving, and, market, actions, impacted, incident",xiang guangda his volatility involving
53,7,-1.1428571428571428,3.023715784073818,"safety, recall, scrutiny, consumer, concerns, products, minimal, than, regulatory, primarily",safety recall scrutiny consumer concerns
54,7,-3.5714285714285716,3.7796447300922718,"allegheny, inc, technologies, decreased, innovations, tariffs, reduction, idling, as, capacity",allegheny inc technologies decreased innovations
55,7,6.285714285714286,3.3022358947782493,"baowu, china, reforms, quality, higher, competitiveness, increased, steel, innovations, reliance",baowu china reforms quality higher
56,7,3.857142857142857,2.734262327610589,"rolled, hot, coils, coil, shyam, metalics, expansion, trends, raw, material",rolled hot coils coil shyam
57,7,7.571428571428571,0.5345224838248487,"tesla, panels, oyj, outokumpu, collaboration, automotive, partnership, source, connects, strong",tesla panels oyj outokumpu collaboration
58,7,7.428571428571429,1.5118578920369088,"saudi, arabia, aramco, investment, seah, complex, plan, partnership, increased, announcement",saudi arabia aramco investment seah
59,6,6.666666666666667,1.3662601021279464,"china, southeast, costs, reduce, extension, asia, imports, on, measures, drive",china southeast costs reduce extension
60,6,-2.3333333333333335,6.623191577077223,"cbam, mechanism, border, adjustment, carbon, european, costs, steelmakers, raised, producers",cbam mechanism border adjustment carbon
61,6,2.6666666666666665,6.531972647421808,"tata, steel, cease, global, multi, wires, sector, prices, make, digital",tata steel cease global multi
62,6,0.0,0.0,"or, any, discusses, does, minimal, developments, unlikely, it, address, no",or any discusses does minimal
63,5,4.0,2.2360679774997894,"chandrayaan, mission, salem, indian, project, like, awarded, bidders, localization, high",chandrayaan mission salem indian project
64,5,2.0,2.7386127875258306,"discusses, would, niche, interest, showroom, furniture, slide, or, local, of",discusses would niche interest showroom
65,5,5.4,3.2093613071762426,"haynes, acquisition, international, acerinox, maintenance, consolidation, north, capabilities, american, strengthening",haynes acquisition international acerinox maintenance
